1,1,3
3,3,1
0,1,10
-6,6,5
-1,2,4
1,6,4
2,7,1
0,0,1
1,3,7
3,1,4
4,4,2
-1,6,4
2,-7,3
0,1,1
1,-3,7
-3,1,3
4,-4,7
1,1,3
3,3,1
0,1,10
-6,6,5
-1,2,4
1,6,4
2,7,1
0,0,1
1,3,7
3,1,4
4,4,2
-1,6,4
2,-7,3
0,1,1
1,-3,7
-3,1,3
4,-4,7
1,1,3
3,3,1
0,1,10
-6,6,5
-1,2,4
1,6,4
2,7,1
0,0,1
1,3,7
3,1,4
4,4,2
-1,6,4
2,-7,3
0,1,1
1,-3,7
-3,1,3
4,-4,7
1,1,3
3,3,1
0,1,10
-6,6,5
-1,2,4
1,6,4
2,7,1
0,0,1
1,3,7
3,1,4
4,4,2
-1,6,4
2,-7,3
0,1,1
1,-3,7
-3,1,3
4,-4,7
1,1,3
3,3,1
0,1,10
-6,6,5
-1,2,4
1,6,4
2,7,1
0,0,1
1,3,7
3,1,4
4,4,2
-1,6,4
2,-7,3
0,1,1
1,-3,7
-3,1,3
4,-4,7
1,1,3
3,3,1
0,1,10
-6,6,5
-1,2,4
1,6,4
2,7,1
0,0,1
1,3,7
3,1,4
4,4,2
-1,6,4
2,-7,3
0,1,1
1,-3,7
-3,1,3
4,-4,7
1,1,3
3,3,1
0,1,10
-6,6,5
-1,2,4
1,6,4
2,7,1
0,0,1
1,3,7
3,1,4
4,4,2
-1,6,4
2,-7,3
0,1,1
1,-3,7
-3,1,3
4,-4,7
1,1,3
3,3,1
0,1,10
